ZCTA5CE10,total_population,num_of_bachelor_degree_higer,num_of_internet_subscribe,median_household_income,num_tier_0,num_tier_1,num_tier_2,num_tier_3,num_tier_4,num_tier_5
4003,214,80,113,89097,2,5,0,0,168,0
4009,5335,1356,1920,59505,4,72,16,0,900,0
4011,20565,6827,7116,66699,30,14,9,0,1579,0
4015,3838,941,1625,50625,9,22,0,0,595,0
4017,515,200,230,50833,0,0,108,46,13,0
4019,42,33,22,93558,0,12,15,0,0,0
4021,6612,2857,2186,111631,19,1,0,0,489,0
4024,580,47,174,56857,0,15,0,0,74,0
4029,1830,326,668,59706,1,27,8,0,273,0
4032,8517,3432,3259,89484,39,0,0,0,908,0
4038,17723,4744,5180,88958,35,13,6,0,1158,12
4039,7596,2529,3102,82027,15,3,1,5,409,199
4040,3348,651,1312,49183,1,49,0,0,376,0
4050,282,117,91,76875,0,11,65,0,22,0
4055,3925,692,1467,54387,0,34,0,0,781,0
4057,92,0,50,-666666666,0,0,0,0,12,0
4062,18821,5235,6485,83046,9,24,10,2,1572,0
4066,678,268,328,105223,0,0,0,0,156,0
4069,1549,482,504,90556,1,0,0,0,96,0
4071,5211,1795,1847,72443,9,23,137,11,753,0
4074,20376,8289,7605,103495,32,8,2,0,1592,17
4079,4022,1835,1723,75931,2,70,3,0,842,0
4084,7231,1459,2346,72119,1,10,3,0,686,0
4085,2888,371,935,82898,1,14,1,0,96,0
4091,810,106,260,65417,0,15,3,0,93,0
4092,18935,5230,7171,71183,14,0,0,0,835,4
4096,8567,3655,2934,88295,34,7,7,0,624,0
4097,3839,1449,1343,93967,2,0,0,0,319,0
4101,18179,7323,8350,46309,32,0,10,1,775,25
4102,16968,7326,6673,67324,33,12,4,0,761,22
4103,30628,11490,11170,72033,43,10,17,0,1464,37
4105,11968,5915,4456,120062,56,9,13,0,944,0
4106,25938,8426,10224,66925,96,13,8,0,1424,0
4107,9226,5026,3529,127329,0,0,0,0,758,0
4108,809,500,388,85667,0,0,0,0,253,0
4109,80,59,40,35288,0,119,26,0,7,0
4110,1532,805,531,208355,2,0,0,0,158,0
4260,5795,1186,1784,74150,2,1,0,0,425,46
